Timestamp,XP
2025-02-23 23:16:23,"47,484,199,509 XP"
2025-02-23 23:17:23,"47,489,777,063 XP"
2025-02-23 23:18:23,"47,495,448,025 XP"
2025-02-23 23:19:23,"47,501,062,941 XP"
2025-02-23 23:20:23,"47,506,668,510 XP"
2025-02-23 23:21:23,"47,512,208,686 XP"
2025-02-23 23:22:23,"47,517,832,946 XP"
2025-02-23 23:23:23,"47,523,419,825 XP"
2025-02-23 23:24:23,"47,529,109,484 XP"
2025-02-23 23:25:23,"47,534,630,967 XP"
2025-02-23 23:26:23,"47,540,264,554 XP"
2025-02-23 23:27:23,"47,545,907,497 XP"
2025-02-23 23:28:23,"47,551,541,093 XP"
2025-02-23 23:29:23,"47,557,090,613 XP"
2025-02-23 23:30:23,"47,562,733,553 XP"
2025-02-23 23:31:23,"47,568,283,069 XP"
2025-02-23 23:32:23,"47,573,926,006 XP"
2025-02-23 23:33:23,"47,579,568,937 XP"
2025-02-23 23:34:23,"47,585,109,115 XP"
2025-02-23 23:35:23,"47,590,752,054 XP"
2025-02-23 23:36:23,"47,596,385,649 XP"
2025-02-23 23:37:23,"47,601,925,820 XP"
2025-02-23 23:38:23,"47,607,568,765 XP"
2025-02-23 23:39:23,"47,613,164,993 XP"
2025-02-23 23:40:23,"47,618,789,250 XP"
2025-02-23 23:41:23,"47,624,413,504 XP"
2025-02-23 23:42:23,"47,629,981,703 XP"
2025-02-23 23:43:23,"47,635,587,279 XP"
2025-02-23 23:44:23,"47,641,230,214 XP"
2025-02-23 23:45:23,"47,646,779,725 XP"
2025-02-23 23:46:23,"47,652,432,010 XP"
2025-02-23 23:47:23,"47,658,065,604 XP"
2025-02-23 23:48:23,"47,663,605,780 XP"
2025-02-23 23:49:23,"47,669,211,345 XP"
2025-02-23 23:50:23,"47,674,844,942 XP"
2025-02-23 23:51:23,"47,680,478,535 XP"
2025-02-23 23:52:23,"47,686,028,053 XP"
2025-02-23 23:53:23,"47,691,680,337 XP"
2025-02-23 23:54:23,"47,697,313,940 XP"
2025-02-23 23:55:23,"47,702,872,796 XP"
2025-02-23 23:56:23,"47,708,506,381 XP"
2025-02-23 23:57:23,"47,714,065,241 XP"
2025-02-23 23:58:23,"47,719,708,177 XP"
2025-02-23 23:59:23,"47,725,341,777 XP"
2025-02-24 00:00:23,"47,731,116,731 XP"
2025-02-24 00:01:23,"47,737,358,400 XP"
2025-02-24 00:02:23,"47,743,558,733 XP"
2025-02-24 00:03:23,"47,749,738,390 XP"
2025-02-24 00:04:23,"47,755,980,058 XP"
2025-02-24 00:05:23,"47,762,108,054 XP"
2025-02-24 00:06:23,"47,768,349,708 XP"
2025-02-24 00:07:23,"47,774,560,367 XP"
2025-02-24 00:08:23,"47,780,740,026 XP"
2025-02-24 00:09:23,"47,786,981,692 XP"
2025-02-24 00:10:24,"47,793,130,346 XP"
2025-02-24 00:11:24,"47,799,372,024 XP"
2025-02-24 00:12:24,"47,805,520,673 XP"
2025-02-24 00:13:24,"47,811,752,003 XP"
2025-02-24 00:14:24,"47,817,993,673 XP"
2025-02-24 00:15:24,"47,824,142,337 XP"
2025-02-24 00:16:24,"47,830,373,662 XP"
2025-02-24 00:17:24,"47,836,543,007 XP"
2025-02-24 00:18:24,"47,842,784,676 XP"
2025-02-24 00:19:24,"47,848,933,340 XP"
2025-02-24 00:20:24,"47,855,174,983 XP"
2025-02-24 00:21:24,"47,861,406,330 XP"
2025-02-24 00:22:24,"47,867,575,660 XP"
2025-02-24 00:23:24,"47,873,734,652 XP"
2025-02-24 00:24:24,"47,879,986,660 XP"
2025-02-24 00:25:24,"47,886,145,651 XP"
2025-02-24 00:26:24,"47,892,387,328 XP"
2025-02-24 00:27:24,"47,898,546,321 XP"
2025-02-24 00:28:24,"47,904,808,658 XP"
2025-02-24 00:29:24,"47,910,957,305 XP"
2025-02-24 00:30:24,"47,917,219,644 XP"
2025-02-24 00:31:24,"47,923,450,984 XP"
2025-02-24 00:32:24,"47,929,599,642 XP"
2025-02-24 00:33:24,"47,935,748,310 XP"
2025-02-24 00:34:24,"47,942,010,651 XP"
2025-02-24 00:35:24,"47,948,148,982 XP"
2025-02-24 00:36:24,"47,954,411,314 XP"
2025-02-24 00:37:24,"47,960,549,630 XP"
2025-02-24 00:38:24,"47,966,811,960 XP"
2025-02-24 00:39:24,"47,973,012,313 XP"
2025-02-24 00:40:24,"47,979,253,982 XP"
2025-02-24 00:41:24,"47,985,423,310 XP"
2025-02-24 00:42:24,"47,991,664,985 XP"
2025-02-24 00:43:24,"47,997,823,981 XP"
2025-02-24 00:44:24,"48,004,055,304 XP"
2025-02-24 00:45:24,"48,010,203,961 XP"
2025-02-24 00:46:24,"48,016,455,963 XP"
2025-02-24 00:47:24,"48,022,604,629 XP"
2025-02-24 00:48:24,"48,028,856,623 XP"
2025-02-24 00:49:24,"48,035,056,957 XP"
2025-02-24 00:50:24,"48,041,215,952 XP"
2025-02-24 00:51:24,"48,047,467,954 XP"
2025-02-24 00:52:24,"48,053,616,607 XP"
2025-02-24 00:53:24,"48,059,858,267 XP"
2025-02-24 00:54:24,"48,066,006,937 XP"
2025-02-24 00:55:24,"48,072,258,943 XP"
2025-02-24 00:56:24,"48,078,417,931 XP"
2025-02-24 00:57:24,"48,084,680,270 XP"
2025-02-24 00:58:24,"48,090,818,605 XP"
2025-02-24 00:59:24,"48,097,070,618 XP"
2025-02-24 01:00:24,"48,103,013,853 XP"
2025-02-24 01:01:24,"48,108,690,822 XP"
2025-02-24 01:02:24,"48,114,292,717 XP"
2025-02-24 01:03:24,"48,119,932,156 XP"
2025-02-24 01:04:24,"48,125,562,207 XP"
2025-02-24 01:05:24,"48,131,201,639 XP"
2025-02-24 01:06:24,"48,136,784,763 XP"
2025-02-24 01:07:24,"48,142,471,113 XP"
2025-02-24 01:08:24,"48,148,054,248 XP"
2025-02-24 01:09:24,"48,153,731,207 XP"
2025-02-24 01:10:25,"48,159,323,729 XP"
2025-02-24 01:11:25,"48,165,000,692 XP"
2025-02-24 01:12:25,"48,170,602,592 XP"
2025-02-24 01:13:25,"48,176,223,251 XP"
2025-02-24 01:14:25,"48,181,900,221 XP"
2025-02-24 01:15:25,"48,187,483,345 XP"
2025-02-24 01:16:25,"48,193,141,544 XP"
2025-02-24 01:17:25,"48,198,734,056 XP"
2025-02-24 01:18:25,"48,204,411,027 XP"
2025-02-24 01:19:25,"48,210,050,462 XP"
2025-02-24 01:20:25,"48,215,642,972 XP"
2025-02-24 01:21:25,"48,221,273,017 XP"
2025-02-24 01:22:25,"48,226,959,375 XP"
2025-02-24 01:23:25,"48,232,551,881 XP"
2025-02-24 01:24:25,"48,238,153,783 XP"
2025-02-24 01:25:25,"48,243,840,133 XP"
2025-02-24 01:26:25,"48,249,432,646 XP"
2025-02-24 01:27:25,"48,255,034,538 XP"
2025-02-24 01:28:25,"48,260,720,889 XP"
2025-02-24 01:29:25,"48,266,313,401 XP"
2025-02-24 01:30:25,"48,271,999,743 XP"
2025-02-24 01:31:25,"48,277,601,647 XP"
2025-02-24 01:32:25,"48,283,259,846 XP"
2025-02-24 01:33:25,"48,288,861,737 XP"
2025-02-24 01:34:25,"48,294,538,710 XP"
2025-02-24 01:35:25,"48,300,121,843 XP"
2025-02-24 01:36:25,"48,305,723,735 XP"
2025-02-24 01:37:25,"48,311,410,083 XP"
2025-02-24 01:38:25,"48,317,002,599 XP"
2025-02-24 01:39:25,"48,322,698,336 XP"
2025-02-24 01:40:25,"48,328,281,470 XP"
2025-02-24 01:41:25,"48,333,883,364 XP"
2025-02-24 01:42:25,"48,339,569,708 XP"
2025-02-24 01:43:25,"48,345,162,224 XP"
2025-02-24 01:44:25,"48,350,848,572 XP"
2025-02-24 01:45:25,"48,356,441,087 XP"
2025-02-24 01:46:25,"48,362,042,990 XP"
2025-02-24 01:47:25,"48,367,719,951 XP"
2025-02-24 01:48:25,"48,373,312,467 XP"
2025-02-24 01:49:25,"48,378,961,283 XP"
2025-02-24 01:50:25,"48,384,638,250 XP"
2025-02-24 01:51:25,"48,390,249,526 XP"
2025-02-24 01:52:25,"48,395,842,042 XP"
2025-02-24 01:53:25,"48,401,528,389 XP"
2025-02-24 01:54:25,"48,407,120,902 XP"
2025-02-24 01:55:25,"48,412,788,486 XP"
2025-02-24 01:56:25,"48,418,381,007 XP"
2025-02-24 01:57:25,"48,423,982,900 XP"
2025-02-24 01:58:25,"48,429,669,243 XP"
2025-02-24 01:59:25,"48,435,252,376 XP"
2025-02-24 02:00:25,"48,440,745,742 XP"
2025-02-24 02:01:25,"48,445,859,015 XP"
2025-02-24 02:02:25,"48,451,006,617 XP"
2025-02-24 02:03:25,"48,456,188,531 XP"
2025-02-24 02:04:25,"48,461,318,964 XP"
2025-02-24 02:05:25,"48,466,432,241 XP"
2025-02-24 02:06:25,"48,471,631,318 XP"
2025-02-24 02:07:25,"48,476,753,167 XP"
2025-02-24 02:08:25,"48,481,952,244 XP"
2025-02-24 02:09:25,"48,487,074,106 XP"
2025-02-24 02:10:25,"48,492,195,961 XP"
2025-02-24 02:11:25,"48,497,395,038 XP"
2025-02-24 02:12:25,"48,502,516,895 XP"
2025-02-24 02:13:25,"48,507,638,751 XP"
2025-02-24 02:14:25,"48,512,837,821 XP"
2025-02-24 02:15:26,"48,517,951,089 XP"
2025-02-24 02:16:26,"48,523,132,995 XP"
2025-02-24 02:17:26,"48,528,246,268 XP"
2025-02-24 02:18:26,"48,533,402,451 XP"
2025-02-24 02:19:26,"48,538,532,885 XP"
2025-02-24 02:20:26,"48,543,740,532 XP"
2025-02-24 02:21:26,"48,548,853,804 XP"
2025-02-24 02:22:26,"48,553,975,654 XP"
2025-02-24 02:23:26,"48,559,183,305 XP"
2025-02-24 02:24:26,"48,564,305,158 XP"
2025-02-24 02:25:26,"48,569,427,006 XP"
2025-02-24 02:26:26,"48,574,600,340 XP"
2025-02-24 02:27:26,"48,579,722,187 XP"
2025-02-24 02:28:26,"48,584,921,260 XP"
2025-02-24 02:29:26,"48,590,043,120 XP"
2025-02-24 02:30:26,"48,595,173,556 XP"
2025-02-24 02:31:26,"48,600,372,622 XP"
2025-02-24 02:32:26,"48,605,485,897 XP"
2025-02-24 02:33:26,"48,610,607,755 XP"
2025-02-24 02:34:26,"48,615,806,840 XP"
2025-02-24 02:35:26,"48,620,928,691 XP"
2025-02-24 02:36:26,"48,626,050,545 XP"
2025-02-24 02:37:26,"48,631,249,624 XP"
2025-02-24 02:38:26,"48,636,362,898 XP"
2025-02-24 02:39:26,"48,641,553,387 XP"
2025-02-24 02:40:26,"48,646,692,397 XP"
2025-02-24 02:41:26,"48,651,805,666 XP"
2025-02-24 02:42:26,"48,657,013,310 XP"
2025-02-24 02:43:26,"48,662,126,584 XP"
2025-02-24 02:44:26,"48,667,248,448 XP"
2025-02-24 02:45:26,"48,672,456,096 XP"
2025-02-24 02:46:26,"48,677,569,372 XP"
2025-02-24 02:47:26,"48,682,768,438 XP"
2025-02-24 02:48:26,"48,687,881,716 XP"
2025-02-24 02:49:26,"48,693,055,040 XP"
2025-02-24 02:50:26,"48,698,168,322 XP"
2025-02-24 02:51:26,"48,703,281,598 XP"
2025-02-24 02:52:26,"48,708,489,245 XP"
2025-02-24 02:53:26,"48,713,602,525 XP"
2025-02-24 02:54:26,"48,718,801,601 XP"
2025-02-24 02:55:26,"48,723,923,455 XP"
2025-02-24 02:56:26,"48,729,036,730 XP"
2025-02-24 02:57:26,"48,734,184,323 XP"
2025-02-24 02:58:26,"48,739,383,392 XP"
